0.200: [GC [PSYoungGen: 26036K->416K(38208K)] 174827K->167369K(220608K), 0.0263120 secs] [Times: user=0.04 sys=0.01, real=0.03 secs] 
0.226: [Full GC [PSYoungGen: 416K->0K(38208K)] [ParOldGen: 166953K->167288K(182400K)] 167369K->167288K(220608K) [PSPermGen: 2869K->2867K(21248K)], 0.0144620 secs] [Times: user=0.02 sys=0.01, real=0.01 secs] 
0.259: [Full GC [PSYoungGen: 31240K->18163K(38208K)] [ParOldGen: 167288K->179027K(182400K)] 198528K->197190K(220608K) [PSPermGen: 2870K->2870K(21248K)], 0.0316280 secs] [Times: user=0.04 sys=0.02, real=0.03 secs] 
0.297: [Full GC [PSYoungGen: 28844K->10682K(38208K)] [ParOldGen: 179027K->179024K(182400K)] 207872K->189706K(220608K) [PSPermGen: 2870K->2870K(21248K)], 0.0368900 secs] [Times: user=0.06 sys=0.00, real=0.04 secs] 
0.373: [Full GC [PSYoungGen: 22448K->0K(38208K)] [ParOldGen: 228923K->215234K(232384K)] 251372K->215234K(270592K) [PSPermGen: 2870K->2870K(21248K)], 0.1445250 secs] [Times: user=0.22 sys=0.00, real=0.15 secs] 
0.548: [Full GC [PSYoungGen: 22783K->0K(38208K)] [ParOldGen: 240985K->233504K(258176K)] 263769K->233504K(296384K) [PSPermGen: 2870K->2870K(21248K)], 0.0844700 secs] [Times: user=0.14 sys=0.00, real=0.08 secs] 
0.644: [GC [PSYoungGen: 22784K->64K(38208K)] 256288K->256016K(296384K), 0.0218310 secs] [Times: user=0.02 sys=0.02, real=0.02 secs] 
0.666: [Full GC [PSYoungGen: 64K->0K(38208K)] [ParOldGen: 255952K->184704K(258176K)] 256016K->184704K(296384K) [PSPermGen: 2870K->2870K(21248K)], 0.1156920 secs] [Times: user=0.20 sys=0.00, real=0.11 secs] 
0.886: [Full GC [PSYoungGen: 28314K->0K(38208K)] [ParOldGen: 338808K->320491K(349568K)] 367122K->320491K(387776K) [PSPermGen: 2870K->2870K(21248K)], 0.1936050 secs] [Times: user=0.35 sys=0.00, real=0.19 secs] 
1.091: [GC [PSYoungGen: 20156K->32K(38208K)] 340647K->340679K(387776K), 0.0130400 secs] [Times: user=0.02 sys=0.01, real=0.01 secs] 
1.104: [Full GC [PSYoungGen: 32K->0K(38208K)] [ParOldGen: 340647K->256533K(349568K)] 340679K->256533K(387776K) [PSPermGen: 2870K->2870K(21248K)], 0.1604840 secs] [Times: user=0.28 sys=0.00, real=0.17 secs] 
1.323: [Full GC [PSYoungGen: 30944K->0K(38208K)] [ParOldGen: 336856K->288394K(349568K)] 367800K->288394K(387776K) [PSPermGen: 2870K->2870K(21248K)], 0.1883550 secs] [Times: user=0.33 sys=0.00, real=0.19 secs] 
1.536: [GC [PSYoungGen: 24462K->32K(38208K)] 337319K->337351K(387776K), 0.0125480 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
1.549: [Full GC [PSYoungGen: 32K->0K(38208K)] [ParOldGen: 337319K->286219K(349568K)] 337351K->286219K(387776K) [PSPermGen: 2870K->2870K(21248K)], 0.0926650 secs] [Times: user=0.16 sys=0.00, real=0.09 secs] 
1.674: [GC [PSYoungGen: 25407K->64K(38208K)] 347862K->347590K(387776K), 0.0176390 secs] [Times: user=0.03 sys=0.01, real=0.02 secs] 
1.692: [Full GC [PSYoungGen: 64K->0K(38208K)] [ParOldGen: 347526K->251915K(349568K)] 347590K->251915K(387776K) [PSPermGen: 2870K->2870K(21248K)], 0.1697020 secs] [Times: user=0.30 sys=0.00, real=0.17 secs] 
1.889: [GC [PSYoungGen: 29442K->64K(38208K)] 306454K->306517K(387776K), 0.0150050 secs] [Times: user=0.03 sys=0.00, real=0.02 secs] 
1.935: [Full GC [PSYoungGen: 23818K->0K(38208K)] [ParOldGen: 344605K->324640K(349568K)] 368423K->324640K(387776K) [PSPermGen: 2870K->2870K(21248K)], 0.1874870 secs] [Times: user=0.34 sys=0.01, real=0.18 secs] 
2.147: [Full GC [PSYoungGen: 29007K->0K(38208K)] [ParOldGen: 343116K->323199K(349568K)] 372124K->323199K(387776K) [PSPermGen: 2870K->2870K(21248K)], 0.1779880 secs] [Times: user=0.31 sys=0.00, real=0.18 secs] 
2.349: [Full GC [PSYoungGen: 29754K->0K(38208K)] [ParOldGen: 340452K->292514K(349568K)] 370207K->292514K(387776K) [PSPermGen: 2870K->2870K(21248K)], 0.1857870 secs] [Times: user=0.34 sys=0.00, real=0.19 secs] 
